episode,reinforce_no_baseline,reinforce_no_baseline_x_delta,reinforce_baseline_10.0,reinforce_baseline_10.0_x_delta,reinforce_baseline_20.0,reinforce_baseline_20.0_x_delta,reinforce_baseline_50.0,reinforce_baseline_50.0_x_delta,actor_critic,actor_critic_x_delta
1,6.443375512933865,-0.028295268642615206,6.443375512933865,-0.028295268642615206,6.443375512933865,-0.028295268642615206,6.443375512933865,-0.028295268642615206,6.443375512933865,-0.028295268642615206
2,9.156350689882839,-0.07851976687387782,3.70493899269146,-0.026228331416508176,3.0863798247644674,-0.03915245001310557,3.078172816591462,-0.039217880879743885,9.903068062006884,-0.10449409346104106
3,10.286846775529268,-0.08537133572389696,2.898434534222226,-0.024674455250498925,3.547899394741672,-0.03546030988795743,3.5304311124782677,-0.03559928236428824,11.302412408774286,-0.045314006063896906
4,9.913013939340455,-0.2320735581584808,3.70504900876057,-0.026246836921423922,4.561330752174428,-0.027367940563834743,4.588571574676984,-0.027150973210422563,22.19514780031756,-0.09391036928756112
5,11.066346738667258,-0.0870849745988769,2.3373308274742524,-0.03717776025772368,5.035663413500346,-0.023558756588176424,4.916216584126244,-0.016529660120645443,13.135254388826812,-0.030640484521724992
6,8.278824866950936,-0.21319337589263576,2.8340666947548154,-0.02520321143421764,6.0656803905318055,-0.015373919632713097,5.016574566296174,-0.015763702211448082,10.103354055991865,-0.007031562310766415
7,7.2972641806173915,-0.2210590397010894,4.535140952206137,-0.019598234159656502,6.124550151742386,-0.0148941747099806,6.633811727139338,-0.01880215946886553,10.2729609137378,-0.005633113621074458
8,12.679129383572201,-0.22582916853755106,5.766524671290701,-0.017739985991681535,5.02723830532913,-0.015680594978341695,4.869419377260288,-0.016942216394004183,18.360684556319733,0.003137044890041486
9,9.661103027936367,-0.2500105296889818,2.897791385434381,-0.024708060315908498,4.841055787032059,-0.01715187791486413,5.896638625302968,-0.01669064112250759,15.081024575072053,0.016880805144926087
10,16.70810424352199,-0.21759154011555423,7.762524870697081,-0.01774361202475691,5.455302824293662,-0.020219252204616157,5.455187334155243,-0.020221810515600833,18.29523188072897,0.01863495398641285
11,16.82767696978909,-0.16070170322304872,2.895298521028049,-0.024724121240726413,5.492009102921377,-0.01993205428377238,9.587706380215895,-0.02709050622679701,23.029072575623413,0.032552912130432286
12,33.325536024272495,-0.1883591099367138,9.80073323586117,-0.025350881057538122,3.396366567195583,-0.020704901643267243,3.7689805017808395,-0.017740282112996327,-0.9168157841359933,-0.15094082505734394
13,55.48776445205532,-0.12261607296311652,3.9896846821563647,-0.023948800384317077,4.952231670354291,-0.02422092222138657,3.340110608557356,-0.02116520168034639,31.365471633183866,0.07526694272699286
14,32.03662219202304,-0.23850968951226997,3.0494468577002154,-0.023471966968461145,3.4060279443911172,-0.020621026717621917,6.57531599764913,-0.019266454462616465,0.8836725358251086,-0.1605187747093174
15,44.264697042607594,-0.18864982937508165,3.1575094007594617,-0.030613484364236804,3.7863379749560235,-0.017593437639789676,8.872772832595102,-0.024839432129082756,194.99465116911685,0.793447390988822
16,71.74692486766362,-0.23212131887766652,2.819603170699429,-0.02533364851326504,4.883035804888651,-0.01682204589731657,4.335606980187032,-0.021186219146868916,187.62145634077052,0.726607127813185
17,30.728438196883612,-0.21713672235786105,3.403763870844451,-0.028629388827250742,4.593206555051659,-0.019154542795315945,4.334318674634088,-0.021229797677435963,222.42779084073922,0.9971023554114835
18,38.203742444517026,-0.22918279066972488,4.358153888473473,-0.028972234106941528,4.686458324206316,-0.018384356795212078,4.483241941395377,-0.020008435260272215,62.45459935628534,0.1723886680964756
19,12.721037567710612,-0.21749502669830528,2.895687104534407,-0.02471705510082802,4.655513879068404,-0.01864616725152565,4.029835074920723,-0.023643392268027707,55.926820519684384,0.16011509007929672
20,15.797151883459177,-0.22477094957942897,3.94643468356699,-0.0242911307825589,4.73397128552126,-0.018004127678400112,3.8247931050557207,-0.02527151167543864,58.03178668417744,0.16892220012491652
21,25.025063863639264,-0.2387691690158508,2.5547444490167783,-0.027439576813719047,4.255937800525986,-0.02184430401707202,4.185593303847251,-0.022394087922668962,0.601107390445683,-0.11493549412693808
22,14.260619586121093,-0.229041390312107,2.3579362814274836,-0.03699883246624676,3.879597680986606,-0.02483435875367575,3.5236435368132177,-0.01968711871332202,44.001423747640935,0.11259312025151323
23,11.844684025762648,-0.22452715496446154,2.4449071649406933,-0.036285054390832114,4.665704205566268,-0.018535674068978464,3.6650373958469586,-0.01858530146970657,21.06454737514076,0.04881781605003811
24,12.814766016927518,-0.23268531932475445,2.809933077497705,-0.025383563904417164,3.3287190213939684,-0.02125821833837737,6.66929192076437,-0.018483860604420324,35.62337703392872,0.10143559368784978
25,8.711110080950682,-0.22556617973428386,2.2891770781842085,-0.029550048508193323,4.359949727723105,-0.020993624912666452,4.35951406529855,-0.021011819097255767,0.737400783075062,-0.08984258261479404
26,15.525006972085018,-0.2269227557205313,2.4682840650801428,-0.028115141515155977,3.991809179161627,-0.015949029595576612,4.861911834909731,-0.02495141111410289,37.905145783246304,0.10376867728853818
27,8.195222648460575,-0.22967072534403077,2.9492530021080325,-0.02426989571046118,4.664956419630153,-0.01854731674159922,4.546019477569411,-0.019500647056870858,30.419503899726603,0.08378270485046171
